sample	segments	clonality	ploidy	purity	homozygousLoss	use	notes
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B03_437300	137	0.109	2.415	1	0.008	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B04_437302	188	0.191	4.255	0.95	0.085	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B05_437304	135	0.225	3.936	0.99	0.123	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B06_437306	202	0.091	2.498	0.96	NA	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B07_437308	188	0.127	2.586	0.98	0.009	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B09_437312	149	0.114	2.45	0.98	0.198	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B10_437314	213	0.167	3.344	1	0.004	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B11_437316	146	0.083	2.641	0.95	0.048	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B12_437318	240	0.15	2.993	0.96	NA	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C01_437320	138	0.111	2.178	1	0	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C02_437322	257	0.225	4.136	1	0.003	FALSE	High prop. Non-integer; Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C03_437324	130	0.146	4.572	1	0.257	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C04_437326	142	0.093	2.289	1	0.084	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C05_437266	171	0.23	5.463	0.95	NA	FALSE	High prop. Non-integer; Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C06_437264	410	0.189	1.9	1	NA	FALSE	Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C08_437268	267	0.144	2.515	1	0.04	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C09_437274	268	0.126	1.894	1	0.152	FALSE	Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C10_437272	129	0.168	2.741	1	0.025	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C11_437278	214	0.117	3.543	1	0.006	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C12_437276	268	0.107	1.868	1	0.009	FALSE	Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D01_437282	33	0.032	2.023	1	0.001	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D02_437280	84	0.216	5.404	0.95	0.173	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D03_437286	280	0.137	2.007	1	NA	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D04_437284	201	0.144	2.938	0.96	0.026	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D05_437290	207	0.26	5.103	0.95	0.11	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D06_437288	325	0.201	2.634	0.95	0.143	FALSE	High prop. Non-integer; Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D07_437294	93	0.233	4.993	0.97	0	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D08_437292	232	0.166	2.95	1	0.023	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D09_437236	108	0.059	1.953	1	NA	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D12_437234	82	0.216	4.729	1	0.006	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E01_437244	394	0.169	2.089	1	0	FALSE	Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E02_437246	308	0.105	3.248	0.98	NA	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E03_437240	201	0.101	2.582	0.98	0.012	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E04_437242	132	0.062	1.678	1	0.006	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E05_437252	136	0.105	1.96	1	0.007	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E06_437254	252	0.181	3.663	1	0.024	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E07_437248	303	0.179	2.324	1	0.009	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E08_437250	112	0.063	2.437	0.95	0.023	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E09_437260	194	0.104	2.547	1	0.026	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E10_437262	165	0.17	3.454	0.97	0.367	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E11_437256	216	0.12	2.542	0.95	0.02	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_E12_437258	160	0.236	4.681	1	0.021	FALSE	High prop. Non-integer
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F01_437206	103	0.133	3.697	0.99	0.011	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F02_437204	124	0.15	3.584	1	0.151	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F03_437202	152	0.158	2.909	1	0.107	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F04_437200	361	0.084	2.923	0.95	NA	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F05_437214	337	0.127	2.684	1	0.008	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F06_437212	311	0.144	2.18	1	0.031	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F07_437210	198	0.063	2.286	1	0.067	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F08_437208	32	0.025	1.99	1	0.004	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F09_437222	132	0.159	3.043	0.97	0.063	FALSE	Refit at higher ploidy failed to improve fit
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F10_437220	179	0.075	1.987	1	0.132	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216	197	0.15	2.927	0.95	0.107	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G01_437230	137	0.118	2.056	1	0.012	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G02_437228	315	0.208	4.463	0.95	0.016	FALSE	High prop. Non-integer; Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G03_437226	218	0.147	2.76	0.95	0.036	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G04_437224	96	0.115	2.917	0.95	0.021	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G05_437368	344	0.216	3.749	1	0.001	FALSE	High prop. Non-integer; Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G06_437370	351	0.238	4.43	0.95	NA	FALSE	High prop. Non-integer; Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G07_437372	270	0.152	1.952	1	0.039	FALSE	Oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G08_437374	122	0.175	3.748	0.99	0.005	TRUE	NA
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G09_437360	252	0.156	2.868	0.96	0.179	TRUE	Some oversegmentation
LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G10_437362	246	0.135	1.963	1	0.004	TRUE	Some oversegmentation
LOU-NH91	60	0.091	2.262	0.95	0.041	TRUE	NA
LOUCY	121	0.052	1.903	0.95	0.01	TRUE	NA
LoVo	50	0.07	2.11	0.95	0.025	TRUE	NA
LOXIMVI	168	0.193	4.16	1	0.03	FALSE	High prop. Non-integer
LP-1	112	0.17	4.598	1	0.008	FALSE	High prop. Non-integer
LS-1034	83	0.147	2.917	0.95	0.007	TRUE	NA
LS-123	126	0.194	2.75	0.95	0	FALSE	High prop. Non-integer
LS-180	240	0.176	1.943	1	0.014	FALSE	Oversegmentation
LS-411N	110	0.14	3.28	0.95	0.03	TRUE	NA
LS-513	64	0.048	2.209	0.95	0.008	TRUE	NA
LU-134-A	61	0.1	2.585	0.95	0.009	TRUE	NA
LU-135	58	0.082	2.461	0.95	0	TRUE	NA
LU-139	109	0.045	2.96	0.95	0.001	TRUE	NA
LU-165	144	0.065	5.465	0.95	0.034	FALSE	non-interleaving copy states
LU-65	196	0.113	2.219	0.95	0.017	TRUE	NA
LU-99A	149	0.252	2.937	0.95	0.243	FALSE	High prop. Non-integer
LXF-289	173	0.206	4.016	0.95	NA	FALSE	High prop. Non-integer; Oversegmentation
M14	121	0.115	3.005	0.95	0.008	TRUE	NA
MC-CAR	53	0.021	1.944	1	0.011	TRUE	NA
MC-IXC	69	0.063	1.886	0.96	NA	TRUE	NA
MC116	51	0.089	2.09	0.95	0.006	TRUE	NA
MCF7	406	0.209	3.314	0.95	0.028	FALSE	High prop. Non-integer; Oversegmentation
MDA-MB-157	198	0.121	2.924	0.95	0.141	TRUE	NA
MDA-MB-175-VII	79	0.053	3.69	0.97	0	TRUE	NA
MDA-MB-231	86	0.076	2.817	0.95	0.196	TRUE	NA
MDA-MB-361	223	0.05	2.705	0.96	0.025	TRUE	NA
MDA-MB-415	108	0.09	2.938	0.95	0	TRUE	NA
MDA-MB-436	326	0.189	3.153	0.95	0.281	FALSE	High prop. Non-integer; Oversegmentation
MDA-MB-453	162	0.117	2.163	1	0.007	TRUE	NA
MDA-MB-468	166	0.147	3.953	1	0.006	TRUE	NA
MDST8	57	0.134	3.864	1	0.002	TRUE	NA
ME-1	60	0.027	2.021	0.99	0.008	TRUE	NA
ME-180	91	0.088	2.762	1	0.009	TRUE	NA
MEG-01	113	0.11	2.454	0.95	0.007	TRUE	NA
MEL-HO	130	0.135	3.255	1	0	TRUE	NA
MEL-JUSO	77	0.058	2.176	0.95	0.02	TRUE	NA
MES-SA	58	0.036	1.89	0.95	0.052	TRUE	NA
Mewo	88	0.054	1.914	0.95	0.044	TRUE	NA
MFE-280	386	0.147	2.438	0.95	0.078	TRUE	Some oversegmentation
MFE-296	57	0.214	3.688	0.95	0.001	FALSE	High prop. Non-integer
MFE-319	74	0.073	2.013	1	0.035	TRUE	NA
MFH-ino	126	0.083	2.793	0.95	0.125	TRUE	NA
MFM-223	355	0.123	2.599	0.95	0.01	TRUE	Some oversegmentation
MG-63	264	0.107	3.013	0.95	NA	TRUE	NA
MHH-CALL-4	147	NA	NA	1	NA	TRUE	NA
MHH-ES-1	60	0.093	2.085	0.95	0.008	TRUE	NA
MHH-NB-11	86	0.185	4.252	1	0.014	FALSE	High prop. Non-integer
MHH-PREB-1	140	0.073	1.975	1	0.041	TRUE	NA
MIA-PaCa-2	127	0.16	2.692	0.95	0.354	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A02_578394	152	0.095	1.939	1	0.008	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A03_578306	34	0.057	1.961	1	0.005	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A04_578330	71	0.071	1.704	1	0.001	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A05_578382	140	0.252	4.836	0.95	0	FALSE	High prop. Non-integer
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A10_578332	80	0.095	2.264	1	0.001	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A11_578462	47	0.097	2.008	1	0	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_A12_578328	209	0.152	1.959	1	0.052	TRUE	Some oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B01_578428	232	0.23	3.861	1	0.031	FALSE	High prop. Non-integer; Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B03_578398	238	0.166	1.888	1	0.06	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B04_578442	141	0.104	1.952	1	0.009	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B05_578308	195	0.122	2.549	0.95	0.079	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B09_578378	242	0.232	2.177	1	2.057	FALSE	Refit at higher ploidy failed to improve fit
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B10_578298	294	0.179	2.061	1	0.013	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B11_578340	149	0.137	1.839	1	0.222	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B12_578288	97	0.152	3.52	1	NA	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C01_578456	103	0.229	3.967	1	0.056	FALSE	High prop. Non-integer
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C02_578346	196	0.113	2.071	1	0.009	TRUE	Some oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C03_578316	261	0.151	2.098	1	0.012	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C04_578302	212	0.216	4.711	1	0.012	FALSE	High prop. Non-integer
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C05_578366	287	0.189	3.22	1	0.015	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C06_578404	180	0.116	2.304	1	0.06	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C08_578282	221	0.134	2.011	1	0.006	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C09_578334	59	0.069	1.991	1	NA	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C10_578450	94	0.122	3.926	0.95	0.005	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C11_578348	207	0.182	3.675	1	0	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D01_578372	399	0.169	2.86	1	0.031	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D02_578304	122	0.17	3.652	1	0.021	FALSE	High prop. Non-integer
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D04_578460	427	0.213	2.069	1	0.027	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D05_578412	31	0.027	1.929	1	0	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D06_578342	188	0.131	1.972	1	0.024	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D08_578424	71	0.115	3.895	1	0.011	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D09_578416	150	0.157	2.784	1	0.171	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D10_578374	150	0.165	3.866	1	0.26	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D11_578356	123	0.106	2.105	1	0.051	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D12_578440	110	0.097	1.956	1	0.051	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E01_578336	116	0.192	3.463	0.99	0.11	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E02_578280	87	0.104	1.947	1	0.008	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E03_578338	147	0.173	3.291	0.95	0.022	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E04_578400	149	0.116	1.98	1	0.021	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E06_578362	223	0.146	2.744	0.95	0.075	TRUE	Some oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E07_578286	113	0.121	3.5	0.96	0.007	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E08_578426	42	0.034	1.98	1	0.005	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E09_578364	64	0.092	1.984	1	0.001	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E11_578318	118	0.13	3.019	1	0.056	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E12_578358	56	0.215	3.767	1	0.015	FALSE	High prop. Non-integer
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F01_578430	270	0.227	3.485	0.95	NA	FALSE	High prop. Non-integer; Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F04_578402	45	0.062	1.955	1	0	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F07_578414	60	0.095	2.213	0.95	0.008	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F08_578464	101	0.062	1.972	0.95	0.152	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F09_578406	54	0.064	2.324	1	0.063	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F10_578312	158	0.123	2.533	0.95	0.036	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F12_578410	265	0.177	1.932	1	0.08	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G01_578290	134	0.148	3.064	1	0.048	FALSE	High prop. Non-integer
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G04_578292	104	0.178	5.301	0.97	0.056	FALSE	non-interleaving copy states
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G05_578300	70	0.08	1.959	1	0	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G06_578350	335	0.171	2.106	1	0.033	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294	190	0.138	2.161	1	0.024	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G09_578344	56	0.048	2.019	1	0.006	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G10_578352	68	0.078	1.958	1	0.074	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H01_578274	36	0.033	1.974	1	0.012	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H02_578396	189	0.138	2.733	1	0.129	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H03_578390	129	0.083	1.959	0.95	0.282	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H05_578434	168	0.22	3.216	0.98	0.019	FALSE	High prop. Non-integer
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H06_578324	70	0.069	2.005	1	0.006	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H07_578444	94	0.077	1.863	0.99	0.008	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H09_578438	271	0.233	3.869	0.95	0.006	FALSE	High prop. Non-integer; Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H10_578276	196	0.126	2.549	0.95	0.034	TRUE	NA
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H11_578446	394	0.198	1.899	1	0.145	FALSE	Oversegmentation
MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H12_578278	151	0.118	1.981	1	0.01	TRUE	NA
MKN1	134	0.137	2.981	0.96	0.004	TRUE	NA
MKN28	139	0.145	4.217	0.95	0.023	TRUE	NA
MKN45	264	0.057	1.846	0.95	0.283	TRUE	NA
MKN7	277	0.137	3.057	0.95	0.072	TRUE	NA
ML-1	63	0.19	4.858	0.95	0.009	TRUE	NA
ML-2	82	0.027	2.012	0.95	0.013	TRUE	NA
MLMA	174	0.035	2.071	0.95	0.285	TRUE	NA
MM1S	94	0.099	3.985	0.95	0	TRUE	NA
MMAC-SF	113	0.145	3.274	0.95	0.005	TRUE	NA
MN-60	63	0.059	1.983	0.95	0.018	TRUE	NA
Mo-T	43	0.028	1.946	1	0.03	TRUE	NA
MOG-G-CCM	117	0.22	4.733	1	0	FALSE	High prop. Non-integer
MOG-G-UVW	120	0.199	3.322	1	0	TRUE	NA
MOLM-13	65	0.039	2.192	0.99	0.009	TRUE	NA
MOLM-16	134	0.088	3.387	1	0	TRUE	NA
MOLP-8	102	0.151	1.964	1	0.041	TRUE	NA
MOLT-13	78	0.055	2.002	1	0.018	TRUE	NA
MOLT-16	115	0.087	3.991	1	0.03	TRUE	NA
MOLT-4	50	0.171	1.92	1	0.047	FALSE	High prop. Non-integer
MONO-MAC-6	148	0.167	3.796	0.97	0.023	TRUE	Refit at higher ploidy; Original ploidy 1.9; manual minimum 2.8; new ploidy 3.62
MPP-89	132	0.122	2.223	0.95	0.019	TRUE	NA
MRK-nu-1	130	0.132	3.807	0.95	0.058	TRUE	NA
MSTO-211H	148	0.221	4.931	0.95	0.027	FALSE	High prop. Non-integer
MV-4-11	36	0.047	1.974	0.99	0.002	TRUE	NA
MZ1-PC	114	0.135	4.126	0.95	0.01	TRUE	NA
MZ2-MEL	91	0.032	1.882	0.95	0.155	TRUE	NA
MZ7-mel	64	0.163	4.354	0.95	NA	TRUE	NA
NALM-6	82	0.053	1.949	1	0.148	TRUE	NA
NAMALWA	243	0.066	3.311	1	0.004	TRUE	NA
NB1	105	0.034	1.992	0.95	0.082	TRUE	NA
NB10	148	0.102	3.396	1	0.004	TRUE	NA
NB12	77	0.162	4.87	1	0	TRUE	NA
NB13	149	0.119	2.951	0.95	NA	TRUE	NA
NB14	120	0.04	2.032	0.98	0.005	TRUE	NA
NB17	124	0.057	3.012	0.95	0.006	TRUE	NA
NB5	75	0.036	1.858	0.95	0.014	TRUE	NA
NB6	104	0.073	1.942	0.95	0.003	TRUE	NA
NB69	71	0.198	5.206	0.95	0.007	TRUE	NA
NB7	109	0.098	3.005	0.96	0.021	TRUE	NA
NBsusSR	122	0.166	3.092	0.95	0.001	TRUE	Shattered chrom 1
NCC010	95	0.256	4.315	1	0.001	FALSE	High prop. Non-integer
NCCIT	137	0.119	4.93	0.95	0	TRUE	NA
NCI-H1048	48	0.023	2.022	0.95	NA	TRUE	Refit at lower ploidy; Original ploidy 3.89; manual maximum 2.8; New ploidy 2
NCI-H1092	138	0.106	2.917	0.95	0.082	TRUE	NA
NCI-H1105	100	0.058	3.31	0.95	0.001	TRUE	NA
NCI-H128	64	0.101	2.81	0.95	0.003	TRUE	NA
NCI-H1304	126	0.084	2.681	0.95	0.003	TRUE	NA
NCI-H1341	62	0.089	3.706	0.95	0.005	TRUE	NA
NCI-H1355	141	0.146	4.564	0.95	0.061	TRUE	NA
NCI-H1395	197	0.117	2.587	0.95	0.006	TRUE	NA
NCI-H1417	123	0.136	3.374	1	0.044	TRUE	NA
NCI-H1435	149	0.058	1.862	0.99	NA	TRUE	NA
NCI-H1436	92	0.109	4.003	0.95	0.006	TRUE	NA
NCI-H1437	122	0.154	2.913	1	0.266	FALSE	High prop. Non-integer
NCI-H146	186	0.085	3.051	0.95	NA	TRUE	NA
NCI-H1563	142	0.087	3.682	0.95	0.032	TRUE	NA
NCI-H1568	150	0.145	2.494	0.95	0.036	TRUE	NA
NCI-H1573	167	0.112	3.36	0.95	0.088	TRUE	NA
NCI-H1581	103	0.181	4.285	1	0.007	FALSE	High prop. Non-integer
NCI-H1623	179	0.175	2.791	0.95	0.229	TRUE	NA
NCI-H1648	159	0.137	2.416	0.95	0.117	TRUE	NA
NCI-H1650	99	0.079	2.011	0.95	0.061	TRUE	NA
NCI-H1651	342	0.108	2.909	0.95	0.109	TRUE	NA
NCI-H1666	143	0.12	2.969	1	0.107	TRUE	NA
NCI-H1693	184	0.123	2.776	0.95	0	TRUE	NA
NCI-H1694	177	0.096	2.449	0.95	0.012	TRUE	NA
NCI-H1703	119	0.117	3.324	0.95	0.005	FALSE	High prop. Non-integer
NCI-H1734	194	0.137	5.153	0.95	0.02	FALSE	High prop. Non-integer
NCI-H1755	140	0.127	2.988	0.95	0.209	TRUE	NA
NCI-H1770	116	0.192	2.598	0.95	0.018	FALSE	High prop. Non-integer
NCI-H1781	117	0.099	2.39	0.95	0.021	TRUE	NA
NCI-H1792	244	0.116	2.229	0.95	0.385	TRUE	NA
NCI-H1793	151	0.178	3.389	0.99	0.03	FALSE	High prop. Non-integer
NCI-H1836	174	0.195	4.203	1	0.012	FALSE	High prop. Non-integer
NCI-H1838	241	0.184	2.896	0.95	0.679	FALSE	High prop. Non-integer
NCI-H1869	95	0.112	3.907	0.99	0.013	TRUE	NA
NCI-H187	146	0.25	3.66	0.95	0.009	FALSE	High prop. Non-integer
NCI-H1876	94	0.103	2.477	0.95	0.001	TRUE	NA
NCI-H1915	196	0.129	1.993	0.96	0.031	TRUE	NA
NCI-H1944	64	0.058	2.186	1	0.028	TRUE	NA
NCI-H196	118	0.161	2.26	0.95	0.225	TRUE	NA
NCI-H1963	87	0.067	1.978	1	0.031	TRUE	NA
NCI-H1975	169	0.174	2.919	0.95	0.05	TRUE	NA
NCI-H1993	248	0.175	4.404	0.95	0.019	TRUE	Borderline fit
NCI-H2023	153	0.115	2.509	0.95	0.034	TRUE	NA
NCI-H2029	136	0.189	5.308	0.95	0.386	FALSE	High prop. Non-integer
NCI-H2030	114	0.194	2.319	1	0.304	FALSE	Refit at higher ploidy failed to improve fit
NCI-H2052	139	0.198	4.435	0.95	0.253	TRUE	NA
NCI-H2066	211	0.134	2.487	0.95	0.057	TRUE	NA
NCI-H2081	156	0.093	3.102	0.95	0.005	TRUE	NA
NCI-H2085	104	0.204	5.024	0.97	0	TRUE	Refit at higher ploidy; Original ploidy 2.63; manual minimum 3.8; New ploidy 4.8
NCI-H2087	169	0.136	2.46	0.95	0.032	TRUE	NA
NCI-H209	122	0.129	1.924	0.95	0.254	TRUE	NA
NCI-H211	208	0.113	1.901	0.95	NA	TRUE	NA
NCI-H2110	206	0.11	2.689	0.95	0.087	TRUE	Shattered chrom 1
NCI-H2122	137	0.149	2.392	0.95	0.037	TRUE	NA
NCI-H2126	163	0.167	3.342	0.95	0.104	FALSE	High prop. Non-integer
NCI-H2141	132	0.173	3.924	1	0.01	FALSE	High prop. Non-integer
NCI-H2170	106	0.188	2.965	1	0.079	FALSE	High prop. Non-integer
NCI-H2171	135	0.063	1.779	0.95	0.011	TRUE	NA
NCI-H2196	101	0.044	1.715	0.95	0.032	TRUE	NA
NCI-H2227	137	0.085	2.506	0.98	0.027	TRUE	NA
